Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.142177,0.397959,0.487755,0.608503,0.644218,0.679932,0.727551,0.760884,0.810204,0.866667,0.866667,0.866667
BAAI/bge-m3,0.285034,0.451020,0.543197,0.672789,0.706122,0.763265,0.814966,0.866667,0.866667,0.866667,0.866667,0.866667
text-embedding-3-small,0.373129,0.501020,0.593197,0.679932,0.734014,0.772109,0.821429,0.842857,0.842857,0.866667,0.866667,0.866667
BM25,0.271429,0.460544,0.507483,0.541837,0.587075,0.596599,0.624490,0.692857,0.766667,0.866667,0.866667,0.866667
