Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.150182,0.345941,0.364357,0.334767,0.277477,0.247591,0.228428,0.210441,0.204371,0.202366,0.184305,0.169224
BAAI/bge-m3,0.299389,0.389765,0.398608,0.372998,0.313149,0.284084,0.265496,0.251895,0.224399,0.202366,0.184305,0.169224
text-embedding-3-small,0.394971,0.428629,0.438993,0.379048,0.331424,0.294076,0.271208,0.244734,0.218037,0.202366,0.184305,0.169224
BM25,0.287869,0.405402,0.373316,0.296527,0.260986,0.221726,0.203708,0.198664,0.198669,0.202366,0.184305,0.169224
