Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.257143,0.276190,0.211429,0.134286,0.093333,0.075714,0.065143,0.057143,0.053878,0.052143,0.046349,0.041714
BAAI/bge-m3,0.457143,0.304762,0.228571,0.151429,0.106667,0.087143,0.076571,0.069524,0.059592,0.052143,0.046349,0.041714
text-embedding-3-small,0.628571,0.323810,0.251429,0.154286,0.114286,0.091429,0.078857,0.067619,0.057959,0.052143,0.046349,0.041714
BM25,0.457143,0.323810,0.211429,0.120000,0.089524,0.068571,0.059429,0.055238,0.053061,0.052143,0.046349,0.041714
