Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.100000,0.133333,0.120000,0.080000,0.053333,0.045000,0.044000,0.040000,0.042857,0.047500,0.042222,0.038000
BAAI/bge-m3,0.200000,0.166667,0.140000,0.110000,0.073333,0.065000,0.064000,0.063333,0.054286,0.047500,0.042222,0.038000
colbert-ir/colbertv2.0,0.100000,0.066667,0.060000,0.060000,0.073333,0.065000,0.064000,0.060000,0.051429,0.047500,0.042222,0.038000
intfloat/multilingual-e5-large,0.100000,0.133333,0.140000,0.120000,0.086667,0.075000,0.076000,0.063333,0.054286,0.047500,0.042222,0.038000
nvidia/llama-embed-nemotron-8b,0.200000,0.233333,0.180000,0.110000,0.086667,0.080000,0.068000,0.063333,0.054286,0.047500,0.042222,0.038000
text-embedding-3-large,0.300000,0.133333,0.180000,0.110000,0.100000,0.080000,0.072000,0.060000,0.054286,0.047500,0.042222,0.038000
text-embedding-3-small,0.300000,0.133333,0.160000,0.100000,0.086667,0.080000,0.072000,0.060000,0.051429,0.047500,0.042222,0.038000
Qwen/Qwen3-embedding-8B,0.300000,0.133333,0.120000,0.100000,0.100000,0.090000,0.076000,0.063333,0.054286,0.047500,0.042222,0.038000
LightOnAI/LateOn-Code,0.100000,0.200000,0.120000,0.090000,0.093333,0.070000,0.056000,0.050000,0.051429,0.047500,0.042222,0.038000
voyageai/voyage-4-nano,0.300000,0.200000,0.140000,0.080000,0.066667,0.065000,0.052000,0.056667,0.051429,0.047500,0.042222,0.038000
voyage-code-3,0.500000,0.266667,0.220000,0.130000,0.113333,0.090000,0.072000,0.063333,0.054286,0.047500,0.042222,0.038000
voyage-4,0.500000,0.200000,0.180000,0.100000,0.080000,0.070000,0.064000,0.060000,0.054286,0.047500,0.042222,0.038000
Qwen/Qwen3-embedding-0.6B,0.200000,0.100000,0.080000,0.080000,0.086667,0.080000,0.076000,0.063333,0.054286,0.047500,0.042222,0.038000
BM25,0.200000,0.200000,0.120000,0.060000,0.053333,0.040000,0.036000,0.040000,0.042857,0.047500,0.042222,0.038000
