Model,1,3,5,10,15,20,25,30,35,40,45,50
akumar33/ManuBERT,0.025000,0.158333,0.241667,0.308333,0.308333,0.341667,0.425000,0.458333,0.558333,0.683333,0.683333,0.683333
BAAI/bge-m3,0.075000,0.191667,0.258333,0.408333,0.408333,0.491667,0.591667,0.683333,0.683333,0.683333,0.683333,0.683333
colbert-ir/colbertv2.0,0.025000,0.075000,0.125000,0.225000,0.391667,0.475000,0.583333,0.650000,0.650000,0.683333,0.683333,0.683333
intfloat/multilingual-e5-large,0.050000,0.141667,0.275000,0.458333,0.491667,0.558333,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333
nvidia/llama-embed-nemotron-8b,0.083333,0.275000,0.341667,0.425000,0.491667,0.591667,0.616667,0.683333,0.683333,0.683333,0.683333,0.683333
text-embedding-3-large,0.133333,0.158333,0.325000,0.408333,0.558333,0.591667,0.650000,0.650000,0.683333,0.683333,0.683333,0.683333
text-embedding-3-small,0.125000,0.158333,0.291667,0.358333,0.475000,0.575000,0.650000,0.650000,0.650000,0.683333,0.683333,0.683333
Qwen/Qwen3-embedding-8B,0.116667,0.166667,0.241667,0.391667,0.558333,0.658333,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333
LightOnAI/LateOn-Code,0.033333,0.225000,0.225000,0.325000,0.508333,0.508333,0.508333,0.541667,0.650000,0.683333,0.683333,0.683333
voyageai/voyage-4-nano,0.108333,0.208333,0.258333,0.291667,0.375000,0.491667,0.491667,0.625000,0.658333,0.683333,0.683333,0.683333
voyage-code-3,0.175000,0.291667,0.391667,0.475000,0.625000,0.650000,0.650000,0.683333,0.683333,0.683333,0.683333,0.683333
voyage-4,0.191667,0.225000,0.325000,0.358333,0.425000,0.525000,0.591667,0.658333,0.683333,0.683333,0.683333,0.683333
Qwen/Qwen3-embedding-0.6B,0.083333,0.116667,0.166667,0.291667,0.491667,0.591667,0.683333,0.683333,0.683333,0.683333,0.683333,0.683333
BM25,0.083333,0.225000,0.225000,0.225000,0.291667,0.291667,0.316667,0.416667,0.516667,0.683333,0.683333,0.683333
